STATION_NAME,STN_ID,LAT,LON,ENSEMBLE,RCP,MODEL,CLIMATOLOGY,Annual,DJF,MAM,JJA,SON,NDJFMA,MJJASO,January,February,March,April,May,June,July,August,September,October,November,December
CEDUNA-AMO,18012,-32.13,133.7,r1i1p1,rcp26,NorESM1-M,2040-2059,64.73,58.37,66.61,76.86,57.15,59.48,70.09,55.1,62.39,64.95,62.65,72.24,80.6,78.2,71.79,62.27,55.47,53.72,57.35
CHARLEVILLE-AERO,44021,-26.42,146.25,r1i1p1,rcp26,NorESM1-M,2040-2059,50.51,47.63,51.7,60.62,41.93,46.52,54.39,45.96,56.68,46.39,49.05,59.67,67.28,64.56,50.01,43.56,41.25,40.98,40.72
COBAR-MO,48027,-31.49,145.83,r1i1p1,rcp26,NorESM1-M,2040-2059,56.68,44.3,59.02,73.57,49.7,47.76,65.61,43.05,49.83,51.16,55.49,70.41,78.92,77.32,64.48,54.14,48.41,46.55,40.36
COFFS-HARBOUR-MO,59040,-30.31,153.12,r1i1p1,rcp26,NorESM1-M,2040-2059,66.8,70.74,71.45,65.42,59.6,70.07,63.54,69.94,75.46,74.22,68.96,71.18,70.69,67.42,58.16,55.14,58.66,65,66.77
DARWIN-AIRPORT,14015,-12.42,130.89,r1i1p1,rcp26,NorESM1-M,2040-2059,70.94,79.79,73.44,61.07,69.53,77.51,64.41,80.34,83.45,81.45,73.23,65.65,59.65,61.27,62.28,68.71,68.88,70.99,75.43
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,r1i1p1,rcp26,NorESM1-M,2040-2059,69.18,58.28,69.93,84.43,63.87,60.78,77.68,57.32,63.21,63.64,66.95,79.21,87.57,86.98,78.3,71.6,61.12,58.46,54.39
EAST-SALE-AIRPORT,85072,-38.12,147.13,r1i1p1,rcp26,NorESM1-M,2040-2059,77.94,72.71,82.49,83.57,72.95,75.26,80.62,72.4,76.69,80.56,81.1,85.82,86.48,84.95,79.29,76.34,70.85,71.66,69.21
ESPERANCE,9789,-33.83,121.89,r1i1p1,rcp26,NorESM1-M,2040-2059,66.24,58.51,69.22,75.99,61.45,60.73,71.88,56.78,59.56,64.09,68.73,74.83,78.06,77.22,72.69,67.15,61.35,55.87,58.61
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,r1i1p1,rcp26,NorESM1-M,2040-2059,58.53,47.58,56.71,75.78,54.16,49.03,68.13,46.76,48.09,51.54,54.47,64.12,75.97,77.7,73.67,65.91,51.43,45.15,47.6
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,r1i1p1,rcp26,NorESM1-M,2040-2059,68.46,62.43,71.5,75.91,64.03,64.85,72.12,62.38,64.78,68.67,70.54,75.28,79.53,76.65,71.57,65.41,64.31,62.39,60.04
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,r1i1p1,rcp26,NorESM1-M,2040-2059,55.63,45.2,60.01,70.44,46.85,48.22,62.89,39.67,50.39,55.43,57.31,66.42,74.9,71.71,64.72,52.29,47.28,40.98,44.89
LAUNCESTON-AIRPORT-COMPARISON,91104,-41.54,147.2,r1i1p1,rcp26,NorESM1-M,2040-2059,77.82,68.27,80.66,87.62,74.78,71.65,84.01,68.44,71.66,75.62,78.94,87.42,90.27,88.47,84.12,77.81,75.98,70.56,64.51
LAVERTON-RAAF,87031,-37.86,144.76,r1i1p1,rcp26,NorESM1-M,2040-2059,73.48,66.92,76.26,81.57,69.12,69.09,77.83,66.62,69.04,72.64,74.17,81.97,84.17,83.1,77.45,73.28,67.01,67.07,65.32
MACKAY-M.O,33119,-21.12,149.22,r1i1p1,rcp26,NorESM1-M,2040-2059,74.67,75.68,78.04,76.5,68.5,74.76,74.61,75,80.22,75.98,78.96,79.19,78.42,78.18,72.89,71.03,67.98,66.5,71.68
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,r1i1p1,rcp26,NorESM1-M,2040-2059,41.77,31.75,43.47,58.05,33.49,34.37,49.02,26.24,38.48,39.84,42.55,48.01,63.18,60.79,50.17,38.25,33.71,28.51,30.84
MELBOURNE-AIRPORT,86282,-37.68,144.84,r1i1p1,rcp26,NorESM1-M,2040-2059,71.81,65.65,74.2,79.28,68.02,67.72,75.85,65.42,67.92,71.46,71.55,79.58,82.29,80.61,74.93,71.73,65.96,66.37,63.85
MILDURA-AIRPORT,76031,-34.23,142.08,r1i1p1,rcp26,NorESM1-M,2040-2059,65.86,52.27,68.36,83.63,59.12,56.09,75.67,52.09,54.5,60.43,64.12,80.54,87.48,86.46,76.95,66.46,56.11,54.8,50.39
MOREE-AERO,53115,-29.49,149.85,r1i1p1,rcp26,NorESM1-M,2040-2059,62.24,58.96,62.27,72.25,55.33,58.19,66.3,57.63,64.19,60.06,58.23,68.51,75.69,75.2,65.85,58.5,54.02,53.48,55.47
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,r1i1p1,rcp26,NorESM1-M,2040-2059,75.72,66.32,78.34,86.55,71.76,69.55,81.95,64.97,67.8,73.85,75.29,85.87,90.63,87.44,81.57,76.23,69.96,69.08,65.96
MOUNT-ISA-AERO,29127,-20.68,139.49,r1i1p1,rcp26,NorESM1-M,2040-2059,43.03,51.41,43.71,43.42,33.41,45.91,40.04,50.62,59.65,45.77,39.91,45.45,51.47,45.23,33.57,33.06,31.44,35.72,44.51
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,r1i1p1,rcp26,NorESM1-M,2040-2059,69.82,72.08,73.41,70.34,63.19,71.59,68.07,72.46,77.15,74.53,70.74,74.97,73.28,73.11,64.65,60.81,61.06,67.57,66.8
PERTH-AIRPORT,9021,-31.93,115.98,r1i1p1,rcp26,NorESM1-M,2040-2059,62.45,48.06,62.82,79.2,59.87,52.06,72.97,46.61,48.8,55.97,60.68,71.82,80.63,80.93,76.04,68.67,59.76,51.18,48.27
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,r1i1p1,rcp26,NorESM1-M,2040-2059,41.83,53.71,41.1,38.76,33.9,47.11,36.69,55.9,58.58,49.73,35.72,37.85,44.32,38.07,33.9,31.78,34.2,35.72,46.24
RICHMOND-RAAF,67105,-33.6,150.78,r1i1p1,rcp26,NorESM1-M,2040-2059,73.73,73.2,79.28,78.07,64.37,73.8,73.77,73.13,78.29,78.33,76.89,82.63,83.05,80.97,70.19,64.33,61.47,67.31,68.14
ROCKHAMPTON-AERO,39083,-23.38,150.48,r1i1p1,rcp26,NorESM1-M,2040-2059,68.49,70.1,69.33,70.6,64.13,68.09,69.03,70.02,72.88,68.07,69.26,70.65,72.4,72.01,67.38,67.66,64.09,60.63,66.87
SYDNEY-AIRPORT-AMO,66037,-33.94,151.17,r1i1p1,rcp26,NorESM1-M,2040-2059,67.22,69.54,71.33,66.88,61.08,69.19,65.28,69.87,73.28,71.95,69.67,72.37,70.55,69.02,61.07,58.97,59.72,64.54,65.59
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,r1i1p1,rcp26,NorESM1-M,2040-2059,39.25,48.06,39.51,38.14,31.31,42.65,35.84,46.32,54.82,42.12,35.92,40.51,45.92,39.27,29.22,28.05,32.09,33.78,42.95
TOWNSVILLE-AERO,32040,-19.25,146.77,r1i1p1,rcp26,NorESM1-M,2040-2059,65.49,70.4,65.81,63.96,61.72,67.71,63.24,69.11,74.17,67.08,65.08,65.27,65.39,65.33,61.15,60.52,61.77,62.89,68.11
WAGGA-WAGGA-AMO,72150,-35.16,147.46,r1i1p1,rcp26,NorESM1-M,2040-2059,67.66,52.05,67.32,84.44,66.7,56.22,79.01,50.97,55.08,57.65,65.11,79.21,86.7,86.73,79.89,75.78,65.75,58.56,50.49
WILLIAMTOWN-RAAF,61078,-32.79,151.84,r1i1p1,rcp26,NorESM1-M,2040-2059,72.77,72.66,78.02,75.22,65.18,73.25,72.36,72.07,77.71,77.85,75.9,80.3,79.25,77.53,68.88,65.04,63.16,67.34,68.19
WOOMERA-AERODROME,16001,-31.16,136.81,r1i1p1,rcp26,NorESM1-M,2040-2059,54.45,43.84,55.25,72.07,46.61,46.09,62.89,43.02,44.59,50.04,51.06,64.64,77.45,74.74,64.01,49.57,46.91,43.35,44.05
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,r1i1p1,rcp26,NorESM1-M,2060-2079,62.46,53.03,63.87,75.51,57.39,55.42,69.5,50.69,53.92,59.37,60.78,71.46,79.87,77.38,69.28,62.45,56.55,53.16,54.6
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,r1i1p1,rcp26,NorESM1-M,2060-2079,72.64,63.77,75.12,81.8,69.94,66.88,78.47,63.43,64.23,69.41,75.09,80.84,83.75,82.57,79.08,75.67,68.89,65.25,63.45
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,r1i1p1,rcp26,NorESM1-M,2060-2079,39.79,32.18,42.41,54.43,30.31,33.12,46.53,28.24,38.55,33.39,40.88,52.95,62.31,57.68,43.31,33.43,29.53,27.96,29.3
AMBERLEY-AMO,40004,-27.63,152.71,r1i1p1,rcp26,NorESM1-M,2060-2079,67.49,66.27,72.08,73.25,58.39,66.02,69,65.62,69.36,68.04,70.94,77.26,78.53,74.02,67.21,59.35,57.66,58.18,63.78
BRISBANE-AERO,40842,-27.39,153.13,r1i1p1,rcp26,NorESM1-M,2060-2079,65.62,66.4,69.84,66.75,59.43,66.15,65.05,65.83,68.95,68.22,69.32,71.98,70.54,67.58,62.13,58.83,59.25,60.19,64.55
BROOME-AIRPORT,3003,-17.95,122.23,r1i1p1,rcp26,NorESM1-M,2060-2079,56.26,70.85,56.39,43.89,53.91,65.56,46.97,71.25,77.12,67.46,55.69,46.01,44.56,43.49,43.63,50.04,54.1,57.59,64.15
CAIRNS-AERO,31011,-16.87,145.75,r1i1p1,rcp26,NorESM1-M,2060-2079,72.46,75.18,75.96,71.99,66.67,74.06,70.87,75.01,78.78,75.46,75.73,76.69,73.68,72.73,69.57,67.14,65.43,67.43,71.87
CANBERRA-AIRPORT-COMPARISON,70014,-35.3,149.2,r1i1p1,rcp26,NorESM1-M,2060-2079,72.23,65.04,75.65,81.86,66.23,67.39,77.01,63.65,69.88,70.73,73.83,82.41,85.81,83.96,75.82,70.04,64.04,64.6,61.96
CARNARVON-AIRPORT,6011,-24.89,113.67,r1i1p1,rcp26,NorESM1-M,2060-2079,55.84,56.02,54.46,62.02,50.86,54.57,57.11,56.84,56.43,53.45,55.08,54.83,62.87,65,58.19,52.63,49.16,50.8,54.8
CEDUNA-AMO,18012,-32.13,133.7,r1i1p1,rcp26,NorESM1-M,2060-2079,62.54,57.25,64.59,73.54,54.86,57.89,67.31,53.17,62.72,62.91,60.99,69.86,77.5,74.54,68.59,60.62,52.74,51.23,55.62
CHARLEVILLE-AERO,44021,-26.42,146.25,r1i1p1,rcp26,NorESM1-M,2060-2079,48.34,45.43,49.89,59.51,38.39,43.58,53,44.25,52.36,41.43,47.34,60.88,66.54,62.43,49.56,41.62,36.95,36.6,40.15
COBAR-MO,48027,-31.49,145.83,r1i1p1,rcp26,NorESM1-M,2060-2079,54.06,41.28,56.96,71.48,46.39,44.45,63.68,38.31,47.43,46.92,53.68,70.29,77.18,73.95,63.3,52.31,45.08,41.79,38.43
COFFS-HARBOUR-MO,59040,-30.31,153.12,r1i1p1,rcp26,NorESM1-M,2060-2079,66.47,70.28,71.66,65.38,58.59,69.64,63.32,69.88,74.63,73.5,69.74,71.73,70.41,66.9,58.82,54.76,57.26,63.76,66.27
DARWIN-AIRPORT,14015,-12.42,130.89,r1i1p1,rcp26,NorESM1-M,2060-2079,70.07,79.84,71.49,59.48,69.52,76.57,63.6,80.75,83.61,79.05,70.85,64.56,56.86,59.52,62.06,69.38,69.23,69.96,75
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,r1i1p1,rcp26,NorESM1-M,2060-2079,67.34,56.07,68.79,83.05,61.23,58.5,76.28,54.22,61.39,61.21,65.89,79.28,86.3,84.67,77.79,69.97,58.34,54.95,52.68
EAST-SALE-AIRPORT,85072,-38.12,147.13,r1i1p1,rcp26,NorESM1-M,2060-2079,77.78,72.73,82.65,83.35,72.34,75.34,80.22,71.15,76.96,81.14,81.43,85.39,86.2,84.53,79.32,75.64,70.22,71.16,70.23
ESPERANCE,9789,-33.83,121.89,r1i1p1,rcp26,NorESM1-M,2060-2079,65.2,58.46,68.32,73.78,60.43,60.52,70,56.52,59.86,63.06,68.95,72.95,75.93,74.66,70.76,65.93,59.8,55.57,58.4
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,r1i1p1,rcp26,NorESM1-M,2060-2079,57.71,47.25,56.24,73.52,53.92,48.66,66.85,47.72,47.41,49.71,55.79,63.21,73.28,75.13,72.14,66.46,50.89,44.4,46.34
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,r1i1p1,rcp26,NorESM1-M,2060-2079,68.46,62.62,71.94,75.74,63.59,65.02,71.96,61.84,64.63,69.47,70.66,75.67,78.99,76.87,71.36,65.45,63.42,61.9,61.3
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,r1i1p1,rcp26,NorESM1-M,2060-2079,53.42,44.26,58.54,65.79,45.13,47.44,59.29,40.12,49.58,51.83,59.16,63.59,70.77,66.7,59.91,51.44,43.33,40.63,42.55
LAUNCESTON-AIRPORT-COMPARISON,91104,-41.54,147.2,r1i1p1,rcp26,NorESM1-M,2060-2079,77.73,68.35,80.9,87.46,74.28,71.72,83.78,67.53,71.46,76.27,79.03,87.41,89.81,88.54,84.03,77.78,75.11,69.96,65.87
LAVERTON-RAAF,87031,-37.86,144.76,r1i1p1,rcp26,NorESM1-M,2060-2079,73.09,66.59,76.18,81.07,68.46,68.81,77.32,64.52,69.59,72.79,74.51,81.23,83.38,82.65,77.18,72.94,66.55,65.88,65.86
MACKAY-M.O,33119,-21.12,149.22,r1i1p1,rcp26,NorESM1-M,2060-2079,72.62,73.6,75.86,74.23,66.82,72.24,73.03,73.5,76.86,73.07,75.64,78.86,75.69,74.74,72.27,69.73,66.86,63.87,70.32
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,r1i1p1,rcp26,NorESM1-M,2060-2079,39.12,30.65,42.05,51.92,31.57,33.47,44.63,27.37,37.96,36.71,43.96,45.46,56.65,54.29,44.82,36.54,29.99,28.16,26.74
MELBOURNE-AIRPORT,86282,-37.68,144.84,r1i1p1,rcp26,NorESM1-M,2060-2079,71.43,65.31,74.14,78.79,67.38,67.46,75.36,63.28,68.57,71.62,71.95,78.86,81.56,80.19,74.63,71.37,65.56,65.22,64.35
MILDURA-AIRPORT,76031,-34.23,142.08,r1i1p1,rcp26,NorESM1-M,2060-2079,64.13,50.97,67.22,81.58,56.69,54.44,73.85,47.91,55.66,58.98,63.87,78.81,86.28,84.18,74.29,65.39,54.15,50.52,49.51
MOREE-AERO,53115,-29.49,149.85,r1i1p1,rcp26,NorESM1-M,2060-2079,61.32,57.97,61.76,72,53.43,56.87,65.79,57.23,63.29,58.27,57.95,69.05,75.12,74.42,66.47,57.88,51.8,50.61,53.79
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,r1i1p1,rcp26,NorESM1-M,2060-2079,75.08,65.94,77.92,85.62,70.91,69.04,81.18,62.99,68.15,73.47,75.33,84.96,88.92,86.67,81.26,76.21,69.04,67.48,66.47
MOUNT-ISA-AERO,29127,-20.68,139.49,r1i1p1,rcp26,NorESM1-M,2060-2079,39.84,49,39.5,39.94,30.73,42.57,36.99,49.43,56.1,40.74,35.49,42.28,46.12,40.91,32.8,31.86,27.99,32.36,41.99
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,r1i1p1,rcp26,NorESM1-M,2060-2079,69.81,71.84,73.97,70.35,62.82,71.65,68,71.38,77.01,75.08,71.48,75.34,73.5,72.51,65.04,60.69,60.31,67.32,67.32
PERTH-AIRPORT,9021,-31.93,115.98,r1i1p1,rcp26,NorESM1-M,2060-2079,62,47.95,62.75,77.88,59.6,51.92,72.23,46.51,48.97,54.25,62.27,71.72,79.75,79.09,74.81,68.99,59.04,50.77,47.88
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,r1i1p1,rcp26,NorESM1-M,2060-2079,41.23,53.93,40.67,36.44,34.02,47.22,35.37,56.09,60.47,47.08,37.72,37.21,39.72,36.6,32.99,31.89,33.82,36.37,44.83
RICHMOND-RAAF,67105,-33.6,150.78,r1i1p1,rcp26,NorESM1-M,2060-2079,73.27,72.32,79.45,77.84,63.46,73.21,73.44,71.73,77.36,77.92,77.33,83.11,82.85,79.92,70.76,63.86,60.15,66.38,67.84
ROCKHAMPTON-AERO,39083,-23.38,150.48,r1i1p1,rcp26,NorESM1-M,2060-2079,67.14,68.94,68.28,69.18,62.32,66.46,67.95,69.21,70.92,65.83,67.84,71.17,70.61,69.71,67.23,65.92,63.08,57.97,66.17
SYDNEY-AIRPORT-AMO,66037,-33.94,151.17,r1i1p1,rcp26,NorESM1-M,2060-2079,66.94,68.88,71.65,66.79,60.41,68.85,65.08,68.61,72.63,71.87,70.26,72.82,70.55,68.25,61.57,58.7,58.57,63.96,65.52
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,r1i1p1,rcp26,NorESM1-M,2060-2079,37.79,47.99,37.16,36.04,29.99,41.69,33.89,46.99,55.35,39.1,33.91,38.47,41.93,36.62,29.59,27.9,28.83,33.23,41.57
TOWNSVILLE-AERO,32040,-19.25,146.77,r1i1p1,rcp26,NorESM1-M,2060-2079,63.91,69.05,64.18,61.88,60.46,65.99,61.81,68.42,72.28,65.18,62.7,64.65,62.75,62.42,60.48,59.55,60.99,60.84,66.65
WAGGA-WAGGA-AMO,72150,-35.16,147.46,r1i1p1,rcp26,NorESM1-M,2060-2079,67.61,51.96,68.03,84.15,66.19,56.35,78.79,49.67,55.8,58.42,66.03,79.63,86.86,85.91,79.68,75.37,65.28,57.91,50.8
WILLIAMTOWN-RAAF,61078,-32.79,151.84,r1i1p1,rcp26,NorESM1-M,2060-2079,72.38,71.82,78.32,75.15,64.23,72.73,72.1,70.9,76.79,77.43,76.59,80.93,79.12,76.58,69.75,64.6,61.63,66.46,67.76
WOOMERA-AERODROME,16001,-31.16,136.81,r1i1p1,rcp26,NorESM1-M,2060-2079,51.5,41.22,52.83,68.15,43.77,43.32,59.75,37.59,44.6,47.4,49.33,61.76,73.96,70.26,60.24,48.55,43.7,39.05,41.59
ADELAIDE-KENT-TOWN,23090,-34.92,138.62,r1i1p1,rcp26,NorESM1-M,2080-2099,61.88,53.51,62.67,74.87,56.58,55.03,68.82,52.68,52.41,58.19,58.88,70.95,78.84,77.53,68.23,62.33,55.02,52.39,55.08
ALBANY-AIRPORT-COMPARISON,9741,-34.94,117.8,r1i1p1,rcp26,NorESM1-M,2080-2099,72.97,63.98,76.07,81.65,70.13,67.5,78.46,63.22,64.92,70.41,76.21,81.59,83.54,82.15,79.25,75.34,68.91,66.15,64
ALICE-SPRINGS-AIRPORT,15590,-23.8,133.89,r1i1p1,rcp26,NorESM1-M,2080-2099,38.95,30.36,40.57,54.47,30.17,31.19,46.62,26.69,36.35,31.46,37.57,52.67,61.99,58.9,42.52,32.6,31.07,26.82,28.7
AMBERLEY-AMO,40004,-27.63,152.71,r1i1p1,rcp26,NorESM1-M,2080-2099,66.75,65.7,70.78,72.03,58.62,65.3,68.29,64.47,68.27,67.34,69.35,75.65,77.86,72.95,65.29,59.76,58.21,57.91,63.92
BRISBANE-AERO,40842,-27.39,153.13,r1i1p1,rcp26,NorESM1-M,2080-2099,65.37,66.16,69.02,66.16,60.12,65.81,64.88,65.1,68.14,67.54,68.7,70.81,70.57,67.04,60.87,59.68,60.34,60.35,65.31
BROOME-AIRPORT,3003,-17.95,122.23,r1i1p1,rcp26,NorESM1-M,2080-2099,55.29,69.56,54.35,44.14,53.08,63.91,46.72,71.18,75.5,66.68,51.02,45.34,45.76,43.26,43.4,49.99,52.56,56.69,62.09
CAIRNS-AERO,31011,-16.87,145.75,r1i1p1,rcp26,NorESM1-M,2080-2099,72.16,74.69,75.77,71.59,66.7,73.99,70.44,75.24,77.99,76.22,76.1,74.98,73.75,71.81,69.22,67.4,65.45,67.25,70.49
CANBERRA-AIRPORT-COMPARISON,70014,-35.3,149.2,r1i1p1,rcp26,NorESM1-M,2080-2099,72.01,66.29,74.63,81.26,66.1,67.69,76.48,65.45,69.63,70.07,72.71,81.12,84.76,84.24,74.78,70.17,63.8,64.32,63.12
CARNARVON-AIRPORT,6011,-24.89,113.67,r1i1p1,rcp26,NorESM1-M,2080-2099,55.6,55.63,54.64,61.63,50.52,54.3,56.94,55.35,57.95,55.59,52.61,55.73,62.83,64.37,57.69,51.91,49.09,50.56,53.49
CEDUNA-AMO,18012,-32.13,133.7,r1i1p1,rcp26,NorESM1-M,2080-2099,62.62,57.94,63.86,73.49,55.36,57.99,67.37,55.09,61.06,61.89,59.69,70,77.04,75.3,68.12,61.76,51.99,52.34,57.1
CHARLEVILLE-AERO,44021,-26.42,146.25,r1i1p1,rcp26,NorESM1-M,2080-2099,48.09,45.58,48.94,58.76,39.28,44.03,52.37,43.63,52.35,42.74,46.33,57.74,66.12,61.57,48.59,42.26,37.95,37.61,40.16
COBAR-MO,48027,-31.49,145.83,r1i1p1,rcp26,NorESM1-M,2080-2099,54.51,44.25,56.6,70.5,47.12,46.39,63,42.62,47.95,48.5,52.92,68.37,76.2,74.25,61.06,52.6,45.52,43.25,40.91
COFFS-HARBOUR-MO,59040,-30.31,153.12,r1i1p1,rcp26,NorESM1-M,2080-2099,66.53,71.02,71.02,64.75,59.39,70.02,63.07,69.95,75.19,73.33,69.16,70.58,70.35,66.4,57.5,55.55,58.05,64.57,67.75
DARWIN-AIRPORT,14015,-12.42,130.89,r1i1p1,rcp26,NorESM1-M,2080-2099,69.63,79.48,71.27,59.77,67.88,76.44,62.75,80.5,84.01,80.52,71.61,61.67,57.28,59.76,62.26,68.78,66.78,68.09,74.32
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,r1i1p1,rcp26,NorESM1-M,2080-2099,67.68,58.22,68.39,82.65,61.85,59.75,75.95,56.9,62.51,62.01,65.15,78,85.59,85.58,76.3,69.57,59.36,56.19,54.3
EAST-SALE-AIRPORT,85072,-38.12,147.13,r1i1p1,rcp26,NorESM1-M,2080-2099,77.52,73.95,81.69,82.94,71.78,75.44,79.81,72.6,77.13,80.41,79.94,84.73,85.73,84.53,78.57,75.59,69.73,70.01,71.27
ESPERANCE,9789,-33.83,121.89,r1i1p1,rcp26,NorESM1-M,2080-2099,65.8,58.25,69.18,75.1,60.77,60.76,70.89,55.58,59.69,63.82,69.19,74.53,77.07,75.98,72.24,66.08,59.44,56.78,59.23
GERALDTON-AIRPORT-COMPARISON,8051,-28.8,114.7,r1i1p1,rcp26,NorESM1-M,2080-2099,57.92,47.04,56.81,73.9,53.87,48.68,67.17,46.51,48.85,51.05,55.27,64.11,73.54,75.34,72.83,66.25,50.99,44.39,45.97
HOBART-ELLERSLIE-ROAD,94029,-42.89,147.33,r1i1p1,rcp26,NorESM1-M,2080-2099,68.35,63,71.13,75.78,63.72,64.89,71.98,62.35,64.93,68.99,70.09,74.3,79.14,77.22,70.99,65.6,64.61,60.94,61.02
KALGOORLIE-BOULDER-AIRPORT,12038,-30.78,121.45,r1i1p1,rcp26,NorESM1-M,2080-2099,53.33,43.85,58.23,67.07,44.25,46.79,59.8,39.44,48.76,52.3,56.93,64.51,72.1,67.85,61.26,50.33,42.77,39.66,42.55
LAUNCESTON-AIRPORT-COMPARISON,91104,-41.54,147.2,r1i1p1,rcp26,NorESM1-M,2080-2099,77.7,68.85,80.03,87.48,74.54,71.61,83.82,68.1,71.83,75.65,78.41,86.02,89.47,88.93,84.03,78.24,76.2,69.18,66.38
LAVERTON-RAAF,87031,-37.86,144.76,r1i1p1,rcp26,NorESM1-M,2080-2099,72.98,68.11,75.34,81.03,67.83,69.11,77.16,67.15,69.24,71.95,73.27,80.8,83.23,82.99,76.85,73.06,66,64.44,66.73
MACKAY-M.O,33119,-21.12,149.22,r1i1p1,rcp26,NorESM1-M,2080-2099,72.45,74.21,76.05,73.37,66.4,73.12,72,74.45,77.92,75.02,76.73,76.4,75.77,73.15,71.19,69.4,66.08,63.71,69.6
MEEKATHARRA-AIRPORT,7045,-26.61,118.54,r1i1p1,rcp26,NorESM1-M,2080-2099,38.6,29.6,41.84,52.43,30.18,32.45,44.66,26.66,37.83,38.07,40.79,46.66,57.81,53.64,45.83,34.11,29.89,26.54,24.48
MELBOURNE-AIRPORT,86282,-37.68,144.84,r1i1p1,rcp26,NorESM1-M,2080-2099,71.3,66.96,73.21,78.68,66.76,67.76,75.15,66.22,68.08,70.59,70.62,78.42,81.32,80.5,74.21,71.4,65.03,63.86,65.32
MILDURA-AIRPORT,76031,-34.23,142.08,r1i1p1,rcp26,NorESM1-M,2080-2099,63.68,52.42,65.88,80.57,56.11,54.76,72.83,51.86,52.21,58.05,62.35,77.24,84.74,83.88,73.1,65.34,52.7,50.29,52.45
MOREE-AERO,53115,-29.49,149.85,r1i1p1,rcp26,NorESM1-M,2080-2099,61.15,59.02,61.07,71.2,53.55,57.38,65.04,57.65,63.2,58.92,56.97,67.31,75.12,74.04,64.43,57.46,51.87,51.33,55.5
MOUNT-GAMBIER-AERO,26021,-37.75,140.77,r1i1p1,rcp26,NorESM1-M,2080-2099,74.73,66.44,76.84,85.51,70.39,68.67,80.98,64.53,67.16,72.49,73.74,84.28,88.45,87.27,80.82,76.15,68.94,66.07,66.9
MOUNT-ISA-AERO,29127,-20.68,139.49,r1i1p1,rcp26,NorESM1-M,2080-2099,39.92,49.43,39.6,40.17,30.43,43.24,36.62,49.09,57.23,42.6,36.2,39.99,47.19,41.15,32.16,30.31,28.93,32.04,42.2
NOWRA-RAN-AIR-STATION-AWS,68072,-34.95,150.54,r1i1p1,rcp26,NorESM1-M,2080-2099,69.5,72.83,72.87,69.71,62.56,71.74,67.35,72.85,76.72,74.2,70.43,73.98,72.81,72.48,63.85,60.58,59.84,67.08,68.42
PERTH-AIRPORT,9021,-31.93,115.98,r1i1p1,rcp26,NorESM1-M,2080-2099,62.35,47.87,63.77,78.35,59.39,52.11,72.61,45.62,49.96,55.94,62.58,72.8,79.74,80,75.31,68.86,58.98,50.34,48.07
PORT-HEDLAND-AIRPORT,4032,-20.37,118.63,r1i1p1,rcp26,NorESM1-M,2080-2099,40.85,52.98,40.35,36.61,33.26,46.24,35.42,56.02,59.58,47.48,35.13,38.44,41.06,35.69,33.09,31.44,32.77,35.56,43.98
RICHMOND-RAAF,67105,-33.6,150.78,r1i1p1,rcp26,NorESM1-M,2080-2099,73.19,73.61,79,77.06,63.31,73.78,72.75,73.28,78.01,77.77,77.25,81.98,81.93,80.1,69.15,63.54,59.78,66.59,68.94
ROCKHAMPTON-AERO,39083,-23.38,150.48,r1i1p1,rcp26,NorESM1-M,2080-2099,65.84,68.19,66.86,67.18,61.32,65.94,65.96,68.64,69.93,66.09,66.64,67.86,69.65,67.42,64.46,64.65,61.71,57.61,65.37
SYDNEY-AIRPORT-AMO,66037,-33.94,151.17,r1i1p1,rcp26,NorESM1-M,2080-2099,66.88,70.07,71.09,65.99,60.48,69.35,64.48,70,73.12,71.7,69.95,71.63,69.6,68.09,60.29,58.68,58.62,64.14,66.72
TENNANT-CREEK-AIRPORT,15135,-19.64,134.18,r1i1p1,rcp26,NorESM1-M,2080-2099,36.72,46.39,35.67,35.55,29.19,40.33,33.09,44.91,53.88,37.68,33.11,36.23,41.23,36.72,28.7,26.7,28.95,31.91,40.66
